form,n_class,log_likelihood,AIC,BIC,G_squared,df,entropy,max_prob,min_class_pct,converged
A,2,-14707.978039171021,29441.956078342042,29527.602817164512,389.7201204591695,34,0.7878956685840734,0.753614081867895,23.789120715350222,TRUE
A,3,-14540.953405971359,29121.906811942717,29253.67102551575,55.670854058411365,27,0.6634939786276182,0.5311056582062548,8.960506706408346,TRUE
A,4,-14531.72847151353,29117.45694302706,29295.338631350653,37.22098514429262,20,0.6889590689024447,0.528493133859953,2.8874813710879286,TRUE
A,5,-14523.985205759976,29115.970411519953,29339.969574594106,21.73445363503695,13,0.7539782750220491,0.5884433058921003,3.0178837555886737,TRUE
A,6,-14517.851091504113,29117.702183008227,29387.818820832937,9.46622512583111,6,0.6988465064929088,0.5036633276868403,2.9806259314456036,TRUE
A,7,-14515.043900555076,29126.087801110152,29442.321913685424,3.851843228129894,-1,0.6744303998339742,0.43999675415263156,1.2667660208643814,TRUE
B,2,-14686.542758803713,29399.085517607426,29484.608156282982,281.442518460568,34,0.7281694490666615,0.7215880441039784,28.004513823584727,TRUE
B,3,-14583.31456718214,29206.62913436428,29338.202424634368,74.98613521756084,27,0.6005652212897001,0.480491139829326,9.836373895053601,TRUE
B,4,-14566.288879077867,29186.577758155734,29364.201700020352,40.93475900864171,20,0.7039574743838759,0.5259519147876188,2.106451006206507,TRUE
B,5,-14554.548417306287,29177.096834612574,29400.771428071723,17.453835466251114,13,0.7368464609069622,0.5409233095470228,1.3165318788790672,TRUE
B,6,-14550.881954964027,29183.763909928053,29453.48915498173,10.120910780691208,6,0.6854166690376843,0.5100049968248477,0.9779951100244498,TRUE
B,7,-14547.750018151892,29191.500036303783,29507.27593295199,3.85703715584706,-1,0.6880026001810201,0.321376927373282,1.0344179048335527,TRUE
