class,variable,response_level,probability,form,class_label
1,lca_attitude,1,0.04643968702974542,B,Class 1 (Form B)
1,lca_attitude,2,0.634459197035615,B,Class 1 (Form B)
1,lca_attitude,3,0.31910111593463236,B,Class 1 (Form B)
2,lca_attitude,1,0.032475081173733086,B,Class 2 (Form B)
2,lca_attitude,2,0.8474840147269862,B,Class 2 (Form B)
2,lca_attitude,3,0.12004090409927884,B,Class 2 (Form B)
3,lca_attitude,1,0.4095697154736692,B,Class 3 (Form B)
3,lca_attitude,2,0.015754090953452825,B,Class 3 (Form B)
3,lca_attitude,3,0.5746761935728953,B,Class 3 (Form B)
4,lca_attitude,1,0.06714193214263801,B,Class 4 (Form B)
4,lca_attitude,2,0.45744675733774665,B,Class 4 (Form B)
4,lca_attitude,3,0.4754113105196139,B,Class 4 (Form B)
1,lca_awareness,1,0.40550779279466803,B,Class 1 (Form B)
1,lca_awareness,2,0.5744492360079407,B,Class 1 (Form B)
1,lca_awareness,3,0.020042971197389552,B,Class 1 (Form B)
2,lca_awareness,1,0.3859550533945849,B,Class 2 (Form B)
2,lca_awareness,2,0.5594674255997594,B,Class 2 (Form B)
2,lca_awareness,3,0.054577521005667616,B,Class 2 (Form B)
3,lca_awareness,1,0.813503351125882,B,Class 3 (Form B)
3,lca_awareness,2,0.1864966488741403,B,Class 3 (Form B)
3,lca_awareness,3,1.7260528138721974e-40,B,Class 3 (Form B)
4,lca_awareness,1,0.16488331786618735,B,Class 4 (Form B)
4,lca_awareness,2,0.6860082956093556,B,Class 4 (Form B)
4,lca_awareness,3,0.1491083865244526,B,Class 4 (Form B)
1,lca_dom_e,1,0.8777443481466368,B,Class 1 (Form B)
1,lca_dom_e,2,0.12225565185336917,B,Class 1 (Form B)
2,lca_dom_e,1,0.42599644031783723,B,Class 2 (Form B)
2,lca_dom_e,2,0.5740035596821716,B,Class 2 (Form B)
3,lca_dom_e,1,0.9931857828454186,B,Class 3 (Form B)
3,lca_dom_e,2,0.006814217154582175,B,Class 3 (Form B)
4,lca_dom_e,1,0.9796765130593486,B,Class 4 (Form B)
4,lca_dom_e,2,0.020323486940650875,B,Class 4 (Form B)
1,lca_dom_f,1,0.1638049834941888,B,Class 1 (Form B)
1,lca_dom_f,2,0.8361950165058097,B,Class 1 (Form B)
2,lca_dom_f,1,0.09305787670751028,B,Class 2 (Form B)
2,lca_dom_f,2,0.9069421232924928,B,Class 2 (Form B)
3,lca_dom_f,1,0.6577532309025692,B,Class 3 (Form B)
3,lca_dom_f,2,0.3422467690974357,B,Class 3 (Form B)
4,lca_dom_f,1,0.9318858403499996,B,Class 4 (Form B)
4,lca_dom_f,2,0.06811415964998908,B,Class 4 (Form B)
1,lca_dom_g,1,0.7720445598547412,B,Class 1 (Form B)
1,lca_dom_g,2,0.22795544014526875,B,Class 1 (Form B)
2,lca_dom_g,1,0.09052278462137756,B,Class 2 (Form B)
2,lca_dom_g,2,0.909477215378625,B,Class 2 (Form B)
3,lca_dom_g,1,0.9069592666218075,B,Class 3 (Form B)
3,lca_dom_g,2,0.093040733378195975,B,Class 3 (Form B)
4,lca_dom_g,1,0.9844545276240098,B,Class 4 (Form B)
4,lca_dom_g,2,0.015545472375988256,B,Class 4 (Form B)
1,lca_dom_h,1,0.8810886798592148,B,Class 1 (Form B)
1,lca_dom_h,2,0.11891132014079313,B,Class 1 (Form B)
2,lca_dom_h,1,0.183168941195563,B,Class 2 (Form B)
2,lca_dom_h,2,0.8168310588044385,B,Class 2 (Form B)
3,lca_dom_h,1,1,B,Class 3 (Form B)
3,lca_dom_h,2,5e-324,B,Class 3 (Form B)
4,lca_dom_h,1,0.9750861403603895,B,Class 4 (Form B)
4,lca_dom_h,2,0.0249138596396095,B,Class 4 (Form B)
