class,variable,response_level,probability,form,class_label
1,lca_attitude,1,0.1358411280339459,B,AI-Anxious
1,lca_attitude,2,0.3759313329985729,B,AI-Anxious
1,lca_attitude,3,0.488227538967463,B,AI-Anxious
2,lca_attitude,1,0.05671256625788903,B,AI-Uninformed
2,lca_attitude,2,0.6437027743525415,B,AI-Uninformed
2,lca_attitude,3,0.2995846593895825,B,AI-Uninformed
3,lca_attitude,1,0.026101624991611064,B,AI-Advantaged
3,lca_attitude,2,0.876409588298067,B,AI-Advantaged
3,lca_attitude,3,0.0974887867103257,B,AI-Advantaged
1,lca_dom_e,1,0.9884725106562084,B,AI-Anxious
1,lca_dom_e,2,0.011527489343785875,B,AI-Anxious
2,lca_dom_e,1,0.8362014822108291,B,AI-Uninformed
2,lca_dom_e,2,0.16379851778916235,B,AI-Uninformed
3,lca_dom_e,1,0.3741668441093739,B,AI-Advantaged
3,lca_dom_e,2,0.6258331558906671,B,AI-Advantaged
1,lca_dom_f,1,0.746425300715279,B,AI-Anxious
1,lca_dom_f,2,0.2535746992847032,B,AI-Anxious
2,lca_dom_f,1,0.19958940029654887,B,AI-Uninformed
2,lca_dom_f,2,0.800410599703451,B,AI-Uninformed
3,lca_dom_f,1,0.05902904166185472,B,AI-Advantaged
3,lca_dom_f,2,0.9409709583381651,B,AI-Advantaged
1,lca_dom_g,1,0.9803608643721958,B,AI-Anxious
1,lca_dom_g,2,0.01963913562780314,B,AI-Anxious
2,lca_dom_g,1,0.6850182077329057,B,AI-Uninformed
2,lca_dom_g,2,0.31498179226709633,B,AI-Uninformed
3,lca_dom_g,1,0.048836686473488315,B,AI-Advantaged
3,lca_dom_g,2,0.951163313526545,B,AI-Advantaged
1,lca_dom_h,1,0.9899577104949866,B,AI-Anxious
1,lca_dom_h,2,0.010042289505013584,B,AI-Anxious
2,lca_dom_h,1,0.8226840580110207,B,AI-Uninformed
2,lca_dom_h,2,0.17731594198897732,B,AI-Uninformed
3,lca_dom_h,1,0.11422698276996045,B,AI-Advantaged
3,lca_dom_h,2,0.8857730172300767,B,AI-Advantaged
