form,n_class,log_likelihood,AIC,BIC,G_squared,df,entropy,max_prob,min_class_pct,converged
A,2,-19367.493697069727,38768.987394139454,38880.98697567653,674.5818134794666,126,0.7867946258263615,0.7522559017733297,23.751862891207153,TRUE
A,3,-19192.15292059185,38436.3058411837,38607.59931882864,323.90026052393335,117,0.6555126642949933,0.5135062395590587,8.997764530551416,TRUE
A,4,-19119.098794113015,38308.19758822603,38538.78496197883,177.79200756562125,108,0.6588223519551999,0.38444009019492414,8.997764530551416,TRUE
A,5,-19101.46746709293,38290.93493418586,38580.816204046525,142.52935352681757,99,0.7492423358782423,0.3266582604760237,7.8614008941877795,TRUE
A,6,-19081.907673768732,38269.815347537464,38618.990513505996,103.40976687668388,90,0.6592483001015748,0.27321022784824217,5.3092399403874815,TRUE
A,7,-19070.712852380046,38265.42570476009,38673.894766836485,81.02012410040196,81,0.5756988165804487,0.26103307345083687,2.384500745156483,TRUE
B,2,-19267.36930021843,38568.73860043686,38680.57589716643,671.6817887967321,126,0.7228965823245652,0.7134488477333378,28.23020500282114,TRUE
B,3,-19107.642345053275,38267.28469010655,38438.32996745766,352.22787846663545,117,0.7231063854254371,0.4847233675616637,14.199736693624224,TRUE
B,4,-19021.830505033104,38113.66101006621,38343.91426803886,180.6041984261893,108,0.6425997448326899,0.4389226481287355,10.58867782584164,TRUE
B,5,-18999.057451181892,38086.114902363784,38375.57614095797,135.05809072418313,99,0.5958450511073236,0.3355856581422554,8.519842016174534,TRUE
B,6,-18980.337209318743,38066.674418637485,38415.34363785321,97.61760699762829,90,0.5783583056548639,0.3115466149665775,5.811547865337596,TRUE
B,7,-18970.630173197882,38065.260346395764,38473.13754623303,78.20353475604495,81,0.6364725569972525,0.30244391650056796,0.865149520406244,TRUE
